Unnamed: 0,kmeans_0,kmeans_1,kmeans_2,kmeans_3,kmeans_4,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_9,uid,MP0045048_bin,MP0041080_bin,MP0110001_bin,MS0050011_bin,MP0050048_bin,mp_district_13_bin,MP0045115_bin,MP0110037_bin,MP0042110_bin,MP0110027_bin,MP0110022_bin,MP0110010_bin,MP0050003_bin,MP0110026_bin,mp_district_41_bin,MP0050047_bin,MP0110012_bin,MP0045110_bin,MP0110002_bin,MP0110044_bin,MP0050028_bin,MP0110024_bin,MP0110045_bin,MP0110009_bin,MP0041053_bin,MP0042067_bin,MP0050018_bin,MP0110006_bin,MP0110004_bin,MP0110020_bin,MP0110029_bin,MP0110011_bin,MP0110023_bin,MS0050001_bin,MP0110030_bin,MP0110046_bin,MP0110021_bin,label
15225,0,0,0,0,0,0,0,1,0,0,kn15226,0.0,1.0,0.0,0.0,19.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,0
15226,0,0,0,0,0,0,0,1,0,0,kn15227,5.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,8.0,5.0,4.0,0.0,8.0,0.0,19.0,0.0,4.0,0.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,8.0,9.0,0
15227,0,0,0,0,0,0,0,1,0,0,kn15228,5.0,0.0,0.0,0.0,10.0,0.0,0.0,18.0,14.0,19.0,17.0,2.0,1.0,19.0,0.0,5.0,0.0,10.0,0.0,17.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,14.0,0.0,0.0,16.0,18.0,0
15228,0,0,0,0,0,0,0,1,0,0,kn15229,10.0,3.0,0.0,11.0,18.0,0.0,0.0,13.0,18.0,5.0,9.0,9.0,1.0,5.0,0.0,2.0,0.0,14.0,2.0,11.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,17.0,18.0,0.0,14.0,12.0,0
15229,0,0,0,0,0,0,0,1,0,0,kn15230,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,4.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,11.0,15.0,0
15230,0,0,0,0,0,0,0,1,0,0,kn15231,4.0,0.0,0.0,11.0,9.0,0.0,0.0,8.0,2.0,19.0,9.0,0.0,1.0,19.0,0.0,17.0,0.0,6.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,8.0,0.0,0.0,5.0,3.0,0.0,6.0,3.0,0
15231,0,0,0,0,0,0,0,1,0,0,kn15232,12.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,9.0,9.0,17.0,1.0,9.0,0.0,5.0,0.0,16.0,0.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,18.0,16.0,0.0,0.0,8.0,4.0,0
15232,0,0,0,0,0,0,0,1,0,0,kn15233,16.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,11.0,17.0,19.0,18.0,1.0,17.0,0.0,3.0,0.0,16.0,0.0,18.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,18.0,17.0,0.0,0.0,13.0,9.0,0
15233,0,0,0,0,0,0,0,1,0,0,kn15234,10.0,0.0,0.0,0.0,4.0,0.0,0.0,19.0,18.0,17.0,16.0,7.0,2.0,17.0,0.0,0.0,0.0,14.0,0.0,18.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,4.0,18.0,0.0,1.0,19.0,17.0,0
15234,0,0,0,0,0,0,0,1,0,0,kn15235,18.0,0.0,0.0,11.0,8.0,0.0,0.0,18.0,17.0,19.0,17.0,3.0,1.0,19.0,0.0,2.0,0.0,19.0,0.0,18.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,17.0,16.0,0.0,18.0,16.0,0
